1.3125 1.05743825 0.23611940 0.00000000
1.3375 2.11093211 0.33777228 0.00000000
1.3625 4.51547241 0.52316868 0.00000000
1.3875 6.60620642 0.67530650 0.00000000
1.4125 9.65730953 0.84768057 0.00000000
1.4375 12.91294384 1.10482955 0.00000000
1.4625 13.43506241 1.16380000 0.00000000
1.4875 15.55609417 1.29353797 0.00000000
1.5125 14.17475414 1.19688618 0.00000000
1.5375 14.18406963 1.17562866 0.00000000
1.5625 13.57101631 1.13757992 0.00000000
1.5875 13.10105419 1.12422097 0.00000000
1.6125 14.33190441 1.23887861 0.00000000
1.6375 15.18293762 1.28868699 0.00000000
1.6625 16.01327515 1.32280576 0.00000000
1.6875 17.41425514 1.43640077 0.00000000
1.7125 16.53103638 1.42143798 0.00000000
1.7375 16.05474281 1.35676742 0.00000000
1.7625 13.84411812 1.16908896 0.00000000
